124,"North Battleford Airport","North Battleford","Canada","YQW","CYQW",52.7692,-108.2440,1799,-6,"N"
125,"Gander International Airport","Gander","Canada","YQX","CYQX",48.9369,-54.5681,496,-3.5,"A"
126,"Sydney / J.A. Douglas McCurdy Airport","Sydney","Canada","YQY","CYQY",46.1614,-60.0478,203,-4,"A"
127,"Quesnel Airport","Quesnel","Canada","YQZ","CYQZ",53.0261,-122.5100,1789,-8,"A"
128,"Resolute Bay Airport","Resolute","Canada","YRB","CYRB",74.7169,-94.9694,215,-6,"A"
129,"Rivière-du-Loup Airport","Riviere Du Loup","Canada","YRI","CYRI",47.7644,-69.5847,427,-5,"A"
130,"Roberval Airport","Roberval","Canada","YRJ","CYRJ",48.5200,-72.2656,586,-5,"A"
131,"Rocky Mountain House Airport","Rocky Mountain House","Canada","YRM","CYRM",52.4297,-114.9040,3244,-7,"A"
132,"Rankin Inlet Airport","Rankin Inlet","Canada","YRT","CYRT",62.8114,-92.1158,94,-6,"A"
133,"Sudbury Airport","Sudbury","Canada","YSB","CYSB",46.6250,-80.7989,1141,-5,"A"
134,"Sherbrooke Airport","Sherbrooke","Canada","YSC","CYSC",45.4386,-71.6914,792,-5,"A"
135,"Saint John Airport","St. John","Canada","YSJ","CYSJ",45.3161,-65.8903,357,-4,"A"
136,"Fort Smith Airport","Fort Smith","Canada","YSM","CYSM",60.0203,-111.9620,671,-7,"A"
137,"Nanisivik Airport","Nanisivik","Canada","YSR","CYSR",72.9822,-84.6136,2106,-5,"A"
138,"Summerside Airport","Summerside","Canada","YSU","CYSU",46.4406,-63.8336,56,-4,"A"
139,"Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport","Sachs Harbour","Canada","YSY","CYSY",71.9939,-125.2430,282,-7,"A"
140,"Cape Dorset Airport","Cape Dorset","Canada","YTE","CYTE",64.2300,-76.5267,164,-5,"A"
141,"Thompson Airport","Thompson","Canada","YTH","CYTH",55.8011,-97.8642,729,-6,"A"
142,"CFB Trenton","Trenton","Canada","YTR","CYTR",44.1189,-77.5281,283,-5,"A"
143,"Timmins/Victor M. Power","Timmins","Canada","YTS","CYTS",48.5697,-81.3767,967,-5,"A"
144,"Billy Bishop Toronto City Centre Airport","Toronto","Canada","YTZ","CYTZ",43.6275,-79.3962,252,-5,"A"
145,"Tuktoyaktuk Airport","Tuktoyaktuk","Canada","YUB","CYUB",69.4333,-133.0260,15,-7,"A"
146,"Montreal / Pierre Elliott Trudeau International Airport","Montreal","Canada","YUL","CYUL",45.4706,-73.7408,118,-5,"A"
147,"Repulse Bay Airport","Repulse Bay","Canada","YUT","CYUT",66.5214,-86.2247,80,-6,"A"
148,"Hall Beach Airport","Hall Beach","Canada","YUX","CYUX",68.7761,-81.2425,30,-5,"A"
149,"Rouyn Noranda Airport","Rouyn","Canada","YUY","CYUY",48.2061,-78.8356,988,-5,"A"
150,"La Ronge Airport","La Ronge","Canada","YVC","CYVC",55.1514,-105.2620,1242,-6,"N"
151,"Vermilion Airport","Vermillion","Canada","YVG","CYVG",53.3558,-110.8240,2025,-7,"A"
152,"Qikiqtarjuaq Airport","Broughton Island","Canada","YVM","CYVM",67.5458,-64.0314,21,-5,"A"
153,"Val-d'Or Airport","Val D'or","Canada","YVO","CYVO",48.0533,-77.7828,1107,-5,"A"
154,"Kuujjuaq Airport","Quujjuaq","Canada","YVP","CYVP",58.0961,-68.4269,129,-5,"A"
155,"Norman Wells Airport","Norman Wells","Canada","YVQ","CYVQ",65.2816,-126.7980,238,-7,"A"
156,"Vancouver International Airport","Vancouver","Canada","YVR","CYVR",49.1939,-123.1840,14,-8,"A"
157,"Buffalo Narrows Airport","Buffalo Narrows","Canada","YVT","CYVT",55.8419,-108.4180,1423,-6,"N"
158,"Wiarton Airport","Wiarton","Canada","YVV","CYVV",44.7458,-81.1072,729,-5,"A"
159,"Petawawa Airport","Petawawa","Canada","YWA","CYWA",45.9522,-77.3192,427,-5,"A"
